Date,Area,SKU,Sales_Value,Units,Promo_Type
2024-01-02,East,SKU-005,2215.3,28,None
2024-01-02,East,SKU-006,2692.63,40,Discount
2024-01-02,East,SKU-007,1816.87,23,Discount
2024-01-02,East,SKU-008,5565.5,162,Bundle
2024-01-02,East,SKU-009,1250.39,24,None
2024-01-02,East,SKU-010,5208.41,98,BOGO
2024-01-02,West,SKU-001,1161.73,24,None
2024-01-02,West,SKU-002,582.5,29,None
2024-01-02,West,SKU-003,3705.85,48,Discount
2024-01-02,West,SKU-004,3619.15,205,Discount
2024-01-02,West,SKU-005,2252.78,42,None
2024-01-02,West,SKU-006,3085.9,109,BOGO
2024-01-02,West,SKU-007,1918.46,47,BOGO
2024-01-02,West,SKU-008,6834.82,90,Discount
2024-01-02,West,SKU-009,974.12,17,None
2024-01-02,West,SKU-010,3280.73,113,None
2024-01-03,North,SKU-001,1686.18,44,Discount
2024-01-03,North,SKU-002,810.8,20,None
2024-01-03,North,SKU-003,2684.93,53,None
2024-01-03,North,SKU-004,3665.12,46,Discount
2024-01-03,North,SKU-005,2484.31,48,None
2024-01-03,North,SKU-006,1931.46,81,None
2024-01-03,North,SKU-007,1547.73,24,None
2024-01-03,North,SKU-008,4514.7,83,None
2024-01-03,North,SKU-009,1709.29,30,BOGO
2024-01-03,North,SKU-010,5550.38,177,Discount
2024-01-03,South,SKU-001,1181.73,27,None
2024-01-03,South,SKU-002,805.86,21,Discount
2024-01-03,South,SKU-003,2903.99,90,None
2024-01-03,South,SKU-004,3325.15,77,Bundle
2024-01-03,South,SKU-005,1966.58,25,None
2024-01-03,South,SKU-006,1672.96,24,None
2024-01-03,South,SKU-007,1301.39,73,None
2024-01-03,South,SKU-008,9215.51,138,BOGO
2024-01-03,South,SKU-009,1405.4,49,None
2024-01-03,South,SKU-010,5908.22,155,Discount
2024-01-03,East,SKU-001,3191.28,50,Flash Sale
2024-01-03,East,SKU-002,1129.34,14,Discount
2024-01-03,East,SKU-003,3173.02,191,None
2024-01-03,East,SKU-004,4462.5,106,BOGO
2024-01-03,East,SKU-005,2955.19,44,Discount
2024-01-03,East,SKU-006,1565.81,89,None
2024-01-03,East,SKU-007,1547.44,22,Bundle
2024-01-03,East,SKU-008,6068.79,88,Bundle
2024-01-03,East,SKU-009,1508.74,26,Discount
2024-01-03,East,SKU-010,7000.06,98,Flash Sale
2024-01-03,West,SKU-001,1859.1,38,Discount
2024-01-03,West,SKU-002,1324.3,58,BOGO
2024-01-03,West,SKU-003,3358.65,43,Discount
2024-01-03,West,SKU-004,2860.41,53,Discount
2024-01-03,West,SKU-005,4065.31,114,BOGO
2024-01-03,West,SKU-006,1567.55,29,None
2024-01-03,West,SKU-007,1532.96,35,Discount
2024-01-03,West,SKU-008,6576.13,336,Discount
2024-01-03,West,SKU-009,2034.73,35,BOGO
2024-01-03,West,SKU-010,4303.74,124,None
2024-01-04,North,SKU-001,2108.77,58,Discount
2024-01-04,North,SKU-002,1007.05,36,Discount
2024-01-04,North,SKU-003,5601.7,76,Flash Sale
2024-01-04,North,SKU-004,3376.59,48,Discount
2024-01-04,North,SKU-005,2981.4,69,Discount
2024-01-04,North,SKU-006,2591.98,59,BOGO
2024-01-04,North,SKU-007,1882.98,28,Discount
2024-01-04,North,SKU-008,5282.6,157,None
2024-01-04,North,SKU-009,1623.8,21,BOGO
2024-01-04,North,SKU-010,5921.2,200,Discount
2024-01-04,South,SKU-001,1697.96,94,Discount
2024-01-04,South,SKU-002,955.94,14,Bundle
2024-01-04,South,SKU-003,3456.42,61,Bundle
2024-01-04,South,SKU-004,3814.82,95,Discount
2024-01-04,South,SKU-005,3970.24,68,Flash Sale
2024-01-04,South,SKU-006,1901.06,26,None
2024-01-04,South,SKU-007,1488.12,50,None
2024-01-04,South,SKU-008,5295.39,169,Bundle
2024-01-04,South,SKU-009,1190.89,17,None
2024-01-04,South,SKU-010,7469.03,102,BOGO
2024-01-04,East,SKU-001,3037.54,60,Flash Sale
2024-01-04,East,SKU-002,772.61,16,None
2024-01-04,East,SKU-003,4242.36,60,Discount
2024-01-04,East,SKU-004,3881.43,79,Discount
2024-01-04,East,SKU-005,2965.35,147,Discount
2024-01-04,East,SKU-006,2055.91,55,Discount
2024-01-04,East,SKU-007,1145.31,38,None
2024-01-04,East,SKU-008,5377.11,280,None
2024-01-04,East,SKU-009,2147.02,47,Flash Sale
2024-01-04,East,SKU-010,3492.09,82,None
2024-01-04,West,SKU-001,1613.48,24,None
2024-01-04,West,SKU-002,1325.28,17,Flash Sale
2024-01-04,West,SKU-003,4244.98,60,Discount
2024-01-04,West,SKU-004,4834.19,77,Flash Sale
2024-01-04,West,SKU-005,3243.86,99,Discount
2024-01-04,West,SKU-006,1733.52,47,Bundle
2024-01-04,West,SKU-007,2772.24,39,Flash Sale
2024-01-04,West,SKU-008,5922.1,119,None
2024-01-04,West,SKU-009,2387.44,41,Flash Sale
2024-01-04,West,SKU-010,4181.89,175,None
2024-01-05,North,SKU-001,1601.91,50,Bundle
2024-01-05,North,SKU-002,996.49,27,BOGO
2024-01-05,North,SKU-003,4766.75,62,Flash Sale
2024-01-05,North,SKU-004,4289.59,211,Flash Sale
2024-01-05,North,SKU-005,2559.89,139,None
2024-01-05,North,SKU-006,2338.81,120,BOGO
2024-01-05,North,SKU-007,1475.17,19,None
2024-01-05,North,SKU-008,7897.37,142,Discount
2024-01-05,North,SKU-009,1443.11,24,Discount
2024-01-05,North,SKU-010,5460.94,172,Discount
2024-01-05,South,SKU-001,1958.99,35,BOGO
2024-01-05,South,SKU-002,782.23,30,None
2024-01-05,South,SKU-003,3250.01,194,Discount
2024-01-05,South,SKU-004,3614.77,48,Discount
2024-01-05,South,SKU-005,4240.35,68,Flash Sale
2024-01-05,South,SKU-006,1703.53,24,None
2024-01-05,South,SKU-007,1576.09,24,Discount
2024-01-05,South,SKU-008,5555.54,107,None
2024-01-05,South,SKU-009,1137.92,26,None
2024-01-05,South,SKU-010,5238.27,91,BOGO
2024-01-05,East,SKU-001,1609.44,23,None
2024-01-05,East,SKU-002,685.28,17,None
2024-01-05,East,SKU-003,3875.67,89,Bundle
2024-01-05,East,SKU-004,3671.07,49,Discount
2024-01-05,East,SKU-005,2983.88,43,Bundle
2024-01-05,East,SKU-006,2136.71,69,Discount
2024-01-05,East,SKU-007,1220.59,27,None
2024-01-05,East,SKU-008,6637.51,113,Bundle
2024-01-05,East,SKU-009,1573.62,22,BOGO
2024-01-05,East,SKU-010,3936.3,103,None
2024-01-05,West,SKU-001,1850.55,25,Discount
2024-01-05,West,SKU-002,1007.6,20,Discount
2024-01-05,West,SKU-003,3215.35,52,Discount
2024-01-05,West,SKU-004,3329.7,108,Bundle
2024-01-05,West,SKU-005,3203.02,68,Bundle
2024-01-05,West,SKU-006,1375.55,46,None
2024-01-05,West,SKU-007,1729.29,32,Discount
2024-01-05,West,SKU-008,6595.21,176,Bundle
2024-01-05,West,SKU-009,1824.25,41,BOGO
2024-01-05,West,SKU-010,4987.67,218,Discount
2024-01-06,North,SKU-001,2197.14,34,Discount
2024-01-06,North,SKU-002,740.57,11,None
2024-01-06,North,SKU-003,5040.53,64,Discount
2024-01-06,North,SKU-004,5019.28,72,Discount
2024-01-06,North,SKU-005,3484.71,130,Discount
2024-01-06,North,SKU-006,2135.65,91,None
2024-01-06,North,SKU-007,1911.64,37,None
2024-01-06,North,SKU-008,6289.1,98,None
2024-01-06,North,SKU-009,1671.23,31,None
2024-01-06,North,SKU-010,6118.82,164,Bundle
2024-01-06,South,SKU-001,1526.64,21,None
2024-01-06,South,SKU-002,953.65,23,None
2024-01-06,South,SKU-003,3405.38,57,None
2024-01-06,South,SKU-004,2585.23,50,None
2024-01-06,South,SKU-005,3262.09,104,Discount
2024-01-06,South,SKU-006,3905.35,58,Flash Sale
2024-01-06,South,SKU-007,2497.59,62,Discount
2024-01-06,South,SKU-008,7120.43,133,Bundle
2024-01-06,South,SKU-009,2548.24,46,Flash Sale
2024-01-06,South,SKU-010,5597.12,196,None
2024-01-06,East,SKU-001,2148.84,105,Discount
2024-01-06,East,SKU-002,1028.41,51,Discount
2024-01-06,East,SKU-003,3182.71,53,None
2024-01-06,East,SKU-004,3582.94,119,Bundle
2024-01-06,East,SKU-005,4228.6,94,Discount
2024-01-06,East,SKU-006,3228.28,48,Discount
2024-01-06,East,SKU-007,2182.16,43,Discount
2024-01-06,East,SKU-008,6934.12,100,None
2024-01-06,East,SKU-009,1198.22,18,None
2024-01-06,East,SKU-010,6484.32,142,Discount
2024-01-06,West,SKU-001,2561.68,33,Discount
2024-01-06,West,SKU-002,1070.9,19,Bundle
2024-01-06,West,SKU-003,6865.69,126,Flash Sale
2024-01-06,West,SKU-004,2515.62,32,None
2024-01-06,West,SKU-005,3351.84,57,None
2024-01-06,West,SKU-006,2844.42,44,Discount
2024-01-06,West,SKU-007,1587.84,27,None
2024-01-06,West,SKU-008,7281.43,137,Discount
2024-01-06,West,SKU-009,2245.46,49,Bundle
2024-01-06,West,SKU-010,8418.28,143,Flash Sale
2024-01-07,North,SKU-001,1579.05,26,None
2024-01-07,North,SKU-002,1259.64,30,Discount
2024-01-07,North,SKU-003,3243.91,91,None
2024-01-07,North,SKU-004,4072.32,62,BOGO
2024-01-07,North,SKU-005,2969.78,59,None
2024-01-07,North,SKU-006,3078.05,63,Flash Sale
2024-01-07,North,SKU-007,2193.62,34,Bundle
2024-01-07,North,SKU-008,7567.03,321,Discount
2024-01-07,North,SKU-009,1985.76,32,Discount
2024-01-07,North,SKU-010,3852.58,68,None
2024-01-07,South,SKU-001,2571.22,73,Discount
2024-01-07,South,SKU-002,862.46,40,None
2024-01-07,South,SKU-003,3252.66,143,None
2024-01-07,South,SKU-004,3005.25,48,None
2024-01-07,South,SKU-005,3778.83,81,Discount
2024-01-07,South,SKU-006,2300.34,45,Bundle
2024-01-07,South,SKU-007,2675.1,49,Flash Sale
2024-01-07,South,SKU-008,6828.3,207,None
2024-01-07,South,SKU-009,2586.37,39,Flash Sale
2024-01-07,South,SKU-010,7498.24,224,Discount
2024-01-07,East,SKU-001,2692.38,51,Discount
2024-01-07,East,SKU-002,1258.7,28,Bundle
2024-01-07,East,SKU-003,4028.62,79,Bundle
2024-01-07,East,SKU-004,5611.62,156,Flash Sale
2024-01-07,East,SKU-005,4663.17,152,Discount
2024-01-07,East,SKU-006,3346.81,51,Flash Sale
2024-01-07,East,SKU-007,1489.94,32,None
2024-01-07,East,SKU-008,10808.71,185,Flash Sale
2024-01-07,East,SKU-009,1451.68,83,None
2024-01-07,East,SKU-010,8718.75,121,BOGO
2024-01-07,West,SKU-001,1850.03,24,Bundle
2024-01-07,West,SKU-002,919.97,22,None
2024-01-07,West,SKU-003,2741.76,41,None
2024-01-07,West,SKU-004,3938.21,65,Discount
2024-01-07,West,SKU-005,3186.68,45,None
2024-01-07,West,SKU-006,4426.53,79,Flash Sale
2024-01-07,West,SKU-007,2399.98,138,Bundle
2024-01-07,West,SKU-008,5328.05,89,None
2024-01-07,West,SKU-009,2441.3,38,Discount
2024-01-07,West,SKU-010,10745.46,166,Flash Sale
2024-01-08,North,SKU-001,1380.19,22,None
2024-01-08,North,SKU-002,576.15,8,None
2024-01-08,North,SKU-003,3636.0,84,Discount
2024-01-08,North,SKU-004,3552.14,68,Discount
2024-01-08,North,SKU-005,2020.69,100,None
2024-01-08,North,SKU-006,3271.18,106,Flash Sale
2024-01-08,North,SKU-007,1195.56,21,None
2024-01-08,North,SKU-008,5825.15,373,Bundle
2024-01-08,North,SKU-009,1828.46,30,Bundle
2024-01-08,North,SKU-010,3281.68,42,None
2024-01-08,South,SKU-001,2086.66,49,Discount
2024-01-08,South,SKU-002,968.58,27,Discount
2024-01-08,South,SKU-003,5969.98,272,Flash Sale
2024-01-08,South,SKU-004,4898.38,93,Flash Sale
2024-01-08,South,SKU-005,2635.96,38,Discount
2024-01-08,South,SKU-006,2840.1,54,Flash Sale
2024-01-08,South,SKU-007,1558.93,24,None
2024-01-08,South,SKU-008,7720.78,257,Discount
2024-01-08,South,SKU-009,1721.24,62,BOGO
2024-01-08,South,SKU-010,5932.21,95,Discount
2024-01-08,East,SKU-001,1484.43,20,None
2024-01-08,East,SKU-002,650.2,14,None
2024-01-08,East,SKU-003,4814.2,230,BOGO
2024-01-08,East,SKU-004,3265.22,77,Discount
2024-01-08,East,SKU-005,2779.65,55,Discount
2024-01-08,East,SKU-006,2661.24,35,BOGO
2024-01-08,East,SKU-007,1208.83,17,None
2024-01-08,East,SKU-008,7664.28,224,Bundle
2024-01-08,East,SKU-009,2175.19,47,BOGO
2024-01-08,East,SKU-010,3387.53,43,None
2024-01-08,West,SKU-001,3184.24,47,Flash Sale
2024-01-08,West,SKU-002,941.81,23,BOGO
2024-01-08,West,SKU-003,3910.58,87,Discount
2024-01-08,West,SKU-004,3627.07,52,Discount
2024-01-08,West,SKU-005,3141.27,104,BOGO
2024-01-08,West,SKU-006,1721.57,22,None
2024-01-08,West,SKU-007,2498.26,85,BOGO
2024-01-08,West,SKU-008,5236.02,115,None
2024-01-08,West,SKU-009,1798.09,79,Discount
2024-01-08,West,SKU-010,4662.16,134,None
2024-01-09,North,SKU-001,1553.74,51,Bundle
2024-01-09,North,SKU-002,672.64,17,None
2024-01-09,North,SKU-003,5413.44,86,Flash Sale
2024-01-09,North,SKU-004,5056.46,73,Flash Sale
2024-01-09,North,SKU-005,5200.01,156,Flash Sale
2024-01-09,North,SKU-006,2331.5,53,BOGO
2024-01-09,North,SKU-007,2141.13,99,Discount
2024-01-09,North,SKU-008,8088.55,102,BOGO
2024-01-09,North,SKU-009,1598.33,48,BOGO
2024-01-09,North,SKU-010,4666.51,68,None
2024-01-09,South,SKU-001,1503.93,26,None
2024-01-09,South,SKU-002,577.44,15,None
2024-01-09,South,SKU-003,3069.02,108,None
2024-01-09,South,SKU-004,3629.63,53,Discount
2024-01-09,South,SKU-005,3035.7,123,Discount
2024-01-09,South,SKU-006,1496.63,18,None
2024-01-09,South,SKU-007,1360.54,20,None
2024-01-09,South,SKU-008,5286.99,317,None
2024-01-09,South,SKU-009,1143.28,17,None
2024-01-09,South,SKU-010,5103.64,158,BOGO
2024-01-09,East,SKU-001,1548.52,31,None
2024-01-09,East,SKU-002,697.31,10,None
2024-01-09,East,SKU-003,2700.15,91,None
2024-01-09,East,SKU-004,2733.79,36,None
2024-01-09,East,SKU-005,3204.5,41,Discount
2024-01-09,East,SKU-006,1970.67,28,None
2024-01-09,East,SKU-007,2733.48,58,Flash Sale
2024-01-09,East,SKU-008,5355.49,264,Bundle
2024-01-09,East,SKU-009,1001.44,30,None
2024-01-09,East,SKU-010,6028.07,111,BOGO
2024-01-09,West,SKU-001,1940.2,35,Discount
2024-01-09,West,SKU-002,786.54,35,None
2024-01-09,West,SKU-003,3746.39,51,Discount
2024-01-09,West,SKU-004,4454.64,100,Flash Sale
2024-01-09,West,SKU-005,4829.45,136,Flash Sale
2024-01-09,West,SKU-006,2802.41,71,BOGO
2024-01-09,West,SKU-007,1439.06,31,None
2024-01-09,West,SKU-008,5626.16,267,None
2024-01-09,West,SKU-009,1330.58,33,None
2024-01-09,West,SKU-010,4045.2,76,None
2024-01-10,North,SKU-001,2412.84,57,BOGO
2024-01-10,North,SKU-002,1534.54,24,Flash Sale
2024-01-10,North,SKU-003,4009.0,105,Discount
2024-01-10,North,SKU-004,3023.86,65,Discount
2024-01-10,North,SKU-005,2188.43,42,None
2024-01-10,North,SKU-006,1815.58,34,None
2024-01-10,North,SKU-007,2895.34,36,Flash Sale
2024-01-10,North,SKU-008,5183.55,89,None
2024-01-10,North,SKU-009,1377.09,42,Discount
2024-01-10,North,SKU-010,6472.26,171,Discount
2024-01-10,South,SKU-001,1620.9,31,None
2024-01-10,South,SKU-002,1107.31,17,Flash Sale
2024-01-10,South,SKU-003,2303.44,46,None
2024-01-10,South,SKU-004,4608.72,124,Flash Sale
2024-01-10,South,SKU-005,3444.15,95,BOGO
2024-01-10,South,SKU-006,1894.93,75,None
2024-01-10,South,SKU-007,1432.18,43,None
2024-01-10,South,SKU-008,9383.17,214,Flash Sale
2024-01-10,South,SKU-009,1503.75,31,Discount
2024-01-10,South,SKU-010,6152.15,184,BOGO
2024-01-10,East,SKU-001,1855.38,52,Bundle
2024-01-10,East,SKU-002,944.31,17,Discount
2024-01-10,East,SKU-003,2427.51,31,None
2024-01-10,East,SKU-004,2770.79,81,None
2024-01-10,East,SKU-005,1869.6,29,None
2024-01-10,East,SKU-006,1399.3,28,None
2024-01-10,East,SKU-007,1874.8,27,Discount
2024-01-10,East,SKU-008,6586.88,92,BOGO
2024-01-10,East,SKU-009,1181.08,26,None
2024-01-10,East,SKU-010,4529.0,86,None
2024-01-10,West,SKU-001,2907.62,68,Flash Sale
2024-01-10,West,SKU-002,677.26,8,None
2024-01-10,West,SKU-003,3084.82,55,None
2024-01-10,West,SKU-004,3349.03,47,BOGO
2024-01-10,West,SKU-005,3175.34,77,Discount
2024-01-10,West,SKU-006,1574.5,44,None
2024-01-10,West,SKU-007,1903.8,29,BOGO
2024-01-10,West,SKU-008,4987.83,222,None
2024-01-10,West,SKU-009,1972.31,52,Discount
2024-01-10,West,SKU-010,3538.67,144,None
2024-01-11,North,SKU-001,1718.63,68,Discount
2024-01-11,North,SKU-002,613.08,9,None
2024-01-11,North,SKU-003,3527.3,68,Bundle
2024-01-11,North,SKU-004,3493.84,48,Bundle
2024-01-11,North,SKU-005,4267.5,76,BOGO
2024-01-11,North,SKU-006,1603.41,35,None
2024-01-11,North,SKU-007,2096.8,39,Discount
2024-01-11,North,SKU-008,7970.52,226,BOGO
2024-01-11,North,SKU-009,1284.18,32,Bundle
2024-01-11,North,SKU-010,4600.71,64,Discount
2024-01-11,South,SKU-001,1476.96,30,None
2024-01-11,South,SKU-002,944.61,12,Bundle
2024-01-11,South,SKU-003,2697.65,39,None
2024-01-11,South,SKU-004,3257.94,70,Discount
2024-01-11,South,SKU-005,2754.23,62,None
2024-01-11,South,SKU-006,3136.04,153,BOGO
2024-01-11,South,SKU-007,1092.16,17,None
2024-01-11,South,SKU-008,6519.27,119,Bundle
2024-01-11,South,SKU-009,1840.57,55,BOGO
2024-01-11,South,SKU-010,8341.59,141,Flash Sale
2024-01-11,East,SKU-001,1575.36,27,None
2024-01-11,East,SKU-002,656.04,12,None
2024-01-11,East,SKU-003,4779.08,77,Flash Sale
2024-01-11,East,SKU-004,2338.96,44,None
2024-01-11,East,SKU-005,2716.07,77,None
2024-01-11,East,SKU-006,2658.38,43,Flash Sale
2024-01-11,East,SKU-007,1237.01,31,None
2024-01-11,East,SKU-008,8942.78,152,BOGO
2024-01-11,East,SKU-009,1282.79,30,None
2024-01-11,East,SKU-010,5109.84,145,BOGO
2024-01-11,West,SKU-001,1851.65,28,Discount
2024-01-11,West,SKU-002,877.79,36,Discount
2024-01-11,West,SKU-003,2528.13,38,None
2024-01-11,West,SKU-004,2668.32,37,None
2024-01-11,West,SKU-005,2418.56,96,None
2024-01-11,West,SKU-006,1860.76,28,None
2024-01-11,West,SKU-007,1457.47,81,None
2024-01-11,West,SKU-008,8507.84,279,BOGO
2024-01-11,West,SKU-009,1645.3,25,Bundle
2024-01-11,West,SKU-010,4595.61,150,Bundle
2024-01-12,North,SKU-001,2132.21,77,Bundle
2024-01-12,North,SKU-002,901.17,27,Bundle
2024-01-12,North,SKU-003,5236.78,124,Flash Sale
2024-01-12,North,SKU-004,2823.65,42,None
2024-01-12,North,SKU-005,2675.34,145,None
2024-01-12,North,SKU-006,2455.53,48,Bundle
2024-01-12,North,SKU-007,1452.23,29,None
2024-01-12,North,SKU-008,4539.96,70,None
2024-01-12,North,SKU-009,1662.4,34,Discount
2024-01-12,North,SKU-010,6288.86,84,Flash Sale
2024-01-12,South,SKU-001,2118.01,28,Bundle
2024-01-12,South,SKU-002,1098.57,23,Flash Sale
2024-01-12,South,SKU-003,3678.7,181,Discount
2024-01-12,South,SKU-004,2846.28,37,Discount
2024-01-12,South,SKU-005,4158.93,173,BOGO
2024-01-12,South,SKU-006,2684.24,58,Discount
2024-01-12,South,SKU-007,1477.64,32,None
2024-01-12,South,SKU-008,5773.36,355,None
2024-01-12,South,SKU-009,1924.15,37,Discount
2024-01-12,South,SKU-010,6347.41,188,Flash Sale
2024-01-12,East,SKU-001,1677.79,55,Discount
2024-01-12,East,SKU-002,755.15,10,Bundle
2024-01-12,East,SKU-003,3717.39,231,Bundle
2024-01-12,East,SKU-004,3815.1,112,Discount
2024-01-12,East,SKU-005,2434.91,79,None
2024-01-12,East,SKU-006,2731.26,46,Flash Sale
2024-01-12,East,SKU-007,1771.92,36,BOGO
2024-01-12,East,SKU-008,4749.35,104,None
2024-01-12,East,SKU-009,2745.9,87,Flash Sale
2024-01-12,East,SKU-010,3729.87,192,None
2024-01-12,West,SKU-001,2160.99,38,Discount
2024-01-12,West,SKU-002,961.23,25,BOGO
2024-01-12,West,SKU-003,4957.18,187,BOGO
2024-01-12,West,SKU-004,3884.37,84,Bundle
2024-01-12,West,SKU-005,2618.07,137,None
2024-01-12,West,SKU-006,1740.32,61,Bundle
2024-01-12,West,SKU-007,2163.88,60,Discount
2024-01-12,West,SKU-008,6996.59,88,Discount
2024-01-12,West,SKU-009,1420.13,22,Bundle
2024-01-12,West,SKU-010,5064.56,71,Discount
2024-01-13,North,SKU-001,1942.32,53,None
2024-01-13,North,SKU-002,945.95,21,None
2024-01-13,North,SKU-003,6887.72,94,Flash Sale
2024-01-13,North,SKU-004,5345.8,196,Flash Sale
2024-01-13,North,SKU-005,3438.98,51,Bundle
2024-01-13,North,SKU-006,3092.74,49,Discount
2024-01-13,North,SKU-007,1562.2,19,None
2024-01-13,North,SKU-008,6068.82,169,None
2024-01-13,North,SKU-009,1354.29,39,None
2024-01-13,North,SKU-010,6424.69,150,Bundle
2024-01-13,South,SKU-001,2071.92,116,Bundle
2024-01-13,South,SKU-002,1413.78,32,BOGO
2024-01-13,South,SKU-003,2742.04,48,None
2024-01-13,South,SKU-004,4836.71,75,BOGO
2024-01-13,South,SKU-005,3299.56,135,None
2024-01-13,South,SKU-006,2086.14,107,Bundle
2024-01-13,South,SKU-007,2429.12,31,BOGO
2024-01-13,South,SKU-008,6210.96,105,None
2024-01-13,South,SKU-009,2207.91,34,BOGO
2024-01-13,South,SKU-010,4803.14,117,None
2024-01-13,East,SKU-001,2134.58,95,Discount
2024-01-13,East,SKU-002,844.48,21,None
2024-01-13,East,SKU-003,2988.8,93,None
2024-01-13,East,SKU-004,3463.02,63,Bundle
2024-01-13,East,SKU-005,3196.14,134,Bundle
2024-01-13,East,SKU-006,1933.78,26,None
2024-01-13,East,SKU-007,2504.32,37,Bundle
2024-01-13,East,SKU-008,10176.89,166,BOGO
2024-01-13,East,SKU-009,2354.89,33,Discount
2024-01-13,East,SKU-010,5304.89,110,None
2024-01-13,West,SKU-001,2023.2,30,None
2024-01-13,West,SKU-002,1320.09,79,Discount
2024-01-13,West,SKU-003,5216.85,66,BOGO
2024-01-13,West,SKU-004,3141.86,152,None
2024-01-13,West,SKU-005,3751.72,60,Discount
2024-01-13,West,SKU-006,2589.42,39,Bundle
2024-01-13,West,SKU-007,1365.99,38,None
2024-01-13,West,SKU-008,5841.13,98,None
2024-01-13,West,SKU-009,1981.09,28,BOGO
2024-01-13,West,SKU-010,5255.69,224,None
2024-01-14,North,SKU-001,1919.0,39,None
2024-01-14,North,SKU-002,1024.07,28,Discount
2024-01-14,North,SKU-003,4340.18,56,Discount
2024-01-14,North,SKU-004,4792.64,153,Discount
2024-01-14,North,SKU-005,3324.65,95,Discount
2024-01-14,North,SKU-006,1973.63,76,None
2024-01-14,North,SKU-007,1395.47,25,None
2024-01-14,North,SKU-008,10843.27,209,BOGO
2024-01-14,North,SKU-009,1210.77,15,None
2024-01-14,North,SKU-010,7047.85,108,Discount
2024-01-14,South,SKU-001,3371.45,198,Flash Sale
2024-01-14,South,SKU-002,1249.85,36,Discount
2024-01-14,South,SKU-003,5188.72,87,Discount
2024-01-14,South,SKU-004,4131.85,69,Discount
2024-01-14,South,SKU-005,2726.11,58,None
2024-01-14,South,SKU-006,2583.8,106,Discount
2024-01-14,South,SKU-007,2811.72,39,BOGO
2024-01-14,South,SKU-008,9652.17,246,Flash Sale
2024-01-14,South,SKU-009,1349.17,29,None
2024-01-14,South,SKU-010,6512.08,269,Discount
2024-01-14,East,SKU-001,1552.21,38,None
